Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Pizza au thon, cuite au four;Plats/Plats italiens;227;12,2;26,5;7,7
Pizza Calzone, cuite au four;Plats/Plats italiens;226;11,5;26,6;7,8
Pizza Hawaii, cuite au four;Plats/Plats italiens;195;9,5;24,2;6,4
Pizza Margherite, cuite au four;Plats/Plats italiens;238;9,9;29,9;8,4
Pizza aux légumes, cuite au four;Plats/Plats italiens;124;5,6;17,4;3,1
Pizza au mascarpone et roquette, cuite au four;Plats/Plats italiens;240;9,6;27,4;9,9
Pizza au jambon et champignon, cuite au four;Plats/Plats italiens;205;10,6;24;7
Pizza au jambon, cuite au four;Plats/Plats italiens;219;10,6;28,7;6,5
Pizza aux quatre fromages, cuite au four;Plats/Plats italiens;297;12,9;37,2;10,3
Pâte à pizza (avec graisse végétale), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;229;7;41,2;3,6
Escalope (moyenne de volaille, veau, boeuf, porc), grillée (sans adjonction de graisse ni de sel);Viande et abats;155;30,4;0,1;3,7
Escalope (moyenne de veau, boeuf, porc, poulet), crue;"Viande et abats/Veau;Viande et abats/Bœuf;Viande et abats/Porc;Viande et abats/Volaille";114;22,2;0,1;2,7
Polenta nera, préparée;Produits céréaliers, légumineuses et pommes de terre/Maïs;103;4,6;12,9;3,4
Pommes Chips;Snacks salés/Chips;537;4,9;49,4;34,7
Pommes Chips à matière grasse réduite;Snacks salés/Chips;467;5,9;59,4;21,9
Pommes frites (cuites au four), non salées;Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;230;3,3;33,1;8,9
Pommes frites (frites dans de l'huile de tournesol HO), non salées;Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;285;3,2;32,5;15,3
Popcorn ;Snacks salés/Autres snacks salés;367;12;62,9;4,2
Vin de Porto, 18.5 vol%;Boissons alcoolisées/Vin;152;0,2;12;0
Poulet, poitrine, avec peau, crue (France);Viande et abats/Volaille;126;24;0;3,3
Poulet, poitrine, avec peau, crue (Suisse);Viande et abats/Volaille;152;23,3;0;6,5
Poulet, poitrine, sans peau, crue (France);Viande et abats/Volaille;109;25,2;0;0,9
Poulet, poitrine, sans peau, crue (Suisse);Viande et abats/Volaille;107;24,6;0;1
Poulet, poitrine, escalope ou émincé, grillé (sans adjonction de graisse ni de sel);Viande et abats/Volaille;131;28,9;0,5;1,5
Poulet, poitrine, escalope (émincé), crue;Viande et abats/Volaille;105;23,1;0,4;1,2
Poulet, entier avec la peau, rôti (sans adjonction de graisse ni de sel);Viande et abats/Volaille;224;25,1;0;13,7
Poulet entier, avec peau, cru;Viande et abats/Volaille;168;18,8;0;10,3
Poulet, cuisse avec la peau, rôti (sans adjonction de graisse ni de sel);Viande et abats/Volaille;218;23,9;0;13,6
Poulet, cuisse, avec peau, crue;Viande et abats/Volaille;184;17,6;0;12,6
Poulet, cuisse, avec peau, crue (France);Viande et abats/Volaille;145;19,4;0;7,5
Poulet, cuisse, avec peau, crue (Suisse);Viande et abats/Volaille;163;17,9;0;10,2
Poulet, cuisse, sans peau, crue (France);Viande et abats/Volaille;121;20,6;0;4,3
Poulet, cuisse, sans peau, crue (Suisse);Viande et abats/Volaille;135;19,7;0;6,2
Coeurs de France;Sucreries/Biscuits;438;4,7;53,8;22,4
Flan au caramel;Sucreries/Crèmes et pouding;125;3,4;23;2,1
Flan au chocolat;Sucreries/Crèmes et pouding;121;3;21;2,6
Flan à la vanille;Sucreries/Crèmes et pouding;101;2,8;18;2
Séré, mi-gras;Lait et produits laitiers/Fromage frais et séré;99;9,6;4;5
Séré maigre;Lait et produits laitiers/Fromage frais et séré;62;10,8;4,2;0,2
Séré à la crème;Lait et produits laitiers/Fromage frais et séré;183;7;3,7;15,6
Pâte feuilletée au séré (avec beurre), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;401;7,1;28,9;28,3
Pâte feuilletée au séré (avec graisse végétale), crue;Produits céréaliers, légumineuses et pommes de terre/Pâtes;396;7,1;28,9;27,7
Quiche Lorraine, cuite au four (pâte feuilletée);Plats/Tartes sucrées et salées et gratins;305;8,5;11,5;24,9
Quiche Lorraine, cuite au four (pâte à gateau);Plats/Tartes sucrées et salées et gratins;293;9;14,6;21,9
Coing, cuit, égoutté (sans adjonction de sucre);Fruits/Fruits cuits (conserves comprises);51;0,4;7,9;0,2
Fromage à raclette;Lait et produits laitiers/Fromage à pâte dure;359;26,4;0;27,9
Petit radis, cru;Légumes/Légumes frais;16;1;2,1;0,1
Crème (en moyenne);"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";252;2,4;3,4;25,4
Crème glacée, aux fruits;Sucreries/Glaces à base de lait;185;3,5;24,7;8
Caramel mou à la crème;Sucreries/Bonbons, bonbons gélifiés aux fruits et chewing-gums;351;0,4;79,3;3,6
Betterave rouge, à la vapeur (sans adjonction se sel);Légumes/Légumes cuits (conserves comprises);57;1,9;10,5;0,1
Betterave rouge, crue;Légumes/Légumes frais;46;1,5;8,4;0,1
Huile de colza;Graisses et huiles/Huiles;809;0;0;89,9
Huile de colza HOLL (high oleic, low linolenic);Graisses et huiles/Huiles;810;0;0;90
Ratatouille, préparée;Légumes/Légumes cuits (conserves comprises);48;1,5;4,6;2,1
Salami fumé;Produits carnés et charcuterie/Produits de charcuterie crus;513;21,4;0,9;47
Reblochon;Lait et produits laitiers/Fromage à pâte molle;308;20,3;0;25,2
Chevreuil (moyenne), crue;Viande et abats/Gibier;122;22,4;0;3,6
Chevreuil, ragoût (civet), cru;Viande et abats/Gibier;105;22;0;1,9
Chevreuil, escalope, cru;Viande et abats/Gibier;105;22,5;0;1,7
Fromage râpé;Lait et produits laitiers/Fromage à pâte dure;396;32,3;0;29,4
Riz parboiled, cuit à l'eau salée (sel non iodé);Produits céréaliers, légumineuses et pommes de terre/Riz;119;2,4;26,6;0,2
Riz parboiled, sec;Produits céréaliers, légumineuses et pommes de terre/Riz;349;6,9;78,2;0,6
Riz blanc, cuit à l'eau salée (sel non iodé);Produits céréaliers, légumineuses et pommes de terre/Riz;115;2,2;25,9;0,2
Riz blanc, sec;Produits céréaliers, légumineuses et pommes de terre/Riz;348;6,6;78,3;0,6
Riz complet, cuit à l'eau salée (sel non iodé);Produits céréaliers, légumineuses et pommes de terre/Riz;135;2,8;28;1,1
Riz complet, sec;Produits céréaliers, légumineuses et pommes de terre/Riz;357;7,5;73,9;2,8
Radis, cru;Légumes/Légumes frais;18;0,6;2,6;0,3
Tarte à la rhubarbe, cuite au four (pâte feuilletée);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";113;2,5;9,4;6,8
Tarte à la rhubarbe, cuite au four (pâte à gateau);"Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins";105;2,9;11,7;4,7
Potiron, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);23;0,6;4,5;0,1
Courge, crue;Légumes/Légumes frais;23;0,6;4,5;0,1
Boeuf, poitrine, cuit (sans adjonction de graisse ni de sel);Viande et abats/Bœuf;313;31,5;0;20,8
Boeuf, poitrine, cru;Viande et abats/Bœuf;188;18,9;0;12,5
Boeuf, coin, tranche, cru;Viande et abats/Bœuf;111;22,6;0;2,3
"Boeuf, entrecôte, grillée à point"" (sans adjonction de graisse ni sel)""";Viande et abats/Bœuf;183;31,8;0;6,2
Boeuf, entrecôte, cru;Viande et abats/Bœuf;138;22,3;0;5,4
Boeuf, entrecôte, cru (Suisse);Viande et abats/Bœuf;133;23,2;0;4,5
Boeuf, entrecôte, cru (USA);Viande et abats/Bœuf;210;21,7;0;13,7
"Boeuf, filet, grillé à point"" (sans adjonction de graisse ni sel)""";Viande et abats/Bœuf;141;29,2;0;2,7
Boeuf, filet, cru;Viande et abats/Bœuf;106;21,9;0;2
Boeuf, hâché, grillé (sans adjonction de graisse ni de sel);Viande et abats/Bœuf;244;34,3;0;11,9
Boeuf, haché, cru;Viande et abats/Bœuf;154;21,6;0;7,5
Boeuf, émincé, cru;Viande et abats/Bœuf;102;22,2;0;1,5
Boeuf, cou, ragoût (goulache), cru;Viande et abats/Bœuf;149;19,3;0;8
Boeuf, entrecôte parisienne, cru (Suisse);Viande et abats/Bœuf;165;21,1;0;9
Boeuf, entrecôte parisienne, cru (USA);Viande et abats/Bœuf;218;19,3;0;15,7
Boeuf, foie, cru;Viande et abats/Bœuf;138;20,5;5,3;3,9
Boeuf, pièce ronde, tranche, cru;Viande et abats/Bœuf;106;22,4;0;1,8
"Boeuf, épaule, rôti au four à point"" (sans adjonction de graisse ni de sel)""";Viande et abats/Bœuf;162;30;0;4,7
Boeuf, épaule, rôti au four, saignant (sans adjonction de graisse ni de sel);Viande et abats/Bœuf;150;27,7;0;4,4
"Boeuf, épaule, rôti au four bien cuit"" (sans adjonction de graisse ni de sel)""";Viande et abats/Bœuf;189;34,8;0;5,5
Boeuf, épaule, rôti, crue;Viande et abats/Bœuf;117;21,6;0;3,4
Boeuf, bouilli, entremêlé, cru;Viande et abats/Bœuf;227;19,5;0;16,6
Boeuf, bouilli entremêlé, cuit (sans adjonction de graisse ni de sel);Viande et abats/Bœuf;289;32,5;0;17,7
Boeuf, bouilli maigre, cuit (sans adjonction de graisse ni de sel);Viande et abats/Bœuf;221;34,5;0;9,2
Boeuf, bouilli, maigre, cru;Viande et abats/Bœuf;132;20,7;0;5,5
Boeuf, ragoût, cru;Viande et abats/Bœuf;96;21,2;0;1,3
Boeuf, langue, crue;Viande et abats/Bœuf;196;16;3,7;13
Viande de bœuf (moyenne sans abats ni côte), crue;Viande et abats/Bœuf;134;21,4;0;5,4
Ragoût de boeuf avec sauce, préparé;Plats/Autres plats salés/épicés;91;12,6;3,1;3
Carré (filet), cru;Produits carnés et charcuterie/Produits de charcuterie cuits;154;21,7;0,5;7,3
Risotto sans fromage, cuit;Produits céréaliers, légumineuses et pommes de terre/Riz;123;2,2;25,1;1,4
Ristretto crème, non sucré;Boissons sans alcool/Café;47;0,8;1,3;4,3
Riz casimir de veau, préparé;Plats/Autres plats salés/épicés;124;6,9;16;3,3
Riz Casimir au poulet, préparé;Plats/Autres plats salés/épicés;126;7,5;16;3,3
Pain de seigle au levain;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;210;5,2;41,8;1
Farine de seigle, type 815;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;337;7,1;71,8;1,2
Farine de seigle, type 1050;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;333;7,5;68,6;1,5
Farine de seigle, complète egrugée, type 1800;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;325;8,5;63,3;1,7
Pain au gruau de seigle;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;228;6,2;44,3;1,2
Lard à manger cru;Produits carnés et charcuterie/Produits de charcuterie crus;400;22,1;0,6;34,3
Produits de salaison crus (moyenne);Produits carnés et charcuterie/Produits de charcuterie crus;304;28,1;0,4;21,1
Jambon cru;Produits carnés et charcuterie/Produits de charcuterie crus;229;31;0,3;11,5
Saucisses crues avec maturation interrompue (moyenne);Produits carnés et charcuterie/Produits de charcuterie crus;369;15,6;0,6;33,8
Saucisses crues (moyenne);Produits carnés et charcuterie/Produits de charcuterie crus;454;22;0,3;40,5
Orge perlé;Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers;344;9,6;71;1,4
Rollmops ;Poisson/Produits à base de poisson;270;12;19,6;15,9
Rollschinkli;Produits carnés et charcuterie/Produits de charcuterie cuits;181;20,3;1,2;10,6
Jambon roulé, cuit (sans adjonction de graisse ni de sel);Produits carnés et charcuterie/Autres produits carnés et produits de charcuterie;227;25,4;1,5;13,3
Roquefort;Lait et produits laitiers/Fromage à pâte dure;361;18,7;0,2;31,7
Chou de Bruxelles, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);42;3,8;3,4;0,5
Chou de Bruxelles, cru;Légumes/Légumes frais;43;4;3,5;0,5
Raisin, sec;Fruits/Fruits secs;298;2,5;68;0,6
Romarin, cru;Légumes/Herbes aromatiques;62;0,8;7,7;2,5
Rösti (pommes de terre prêtes à rôtir, produit fini);Produits céréaliers, légumineuses et pommes de terre/Pommes de terre;117;2;18,6;3,6
Chou rouge, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);28;1,3;3,7;0,3
Chou rouge, cru;Légumes/Légumes frais;30;1,4;4;0,3
Pain bis;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;234;9,5;44,3;1,2
Roquette, crue;Légumes/Légumes frais;28;2,6;2,1;0,7
Gateau aux carottes;Sucreries/Gâteaux, tourtes et cakes;291;9,8;24,7;16
Oeufs brouillés aux champignons, préparés;Plats/Autres plats salés/épicés;128;9,4;1,5;9,3
Oeufs brouillés au fromage, préparés;Plats/Autres plats salés/épicés;159;11,6;1,3;11,9
Oeufs brouillés aux herbes, préparés;Plats/Autres plats salés/épicés;143;10,3;1,8;10,4
Oeufs brouillés au jambon, préparés;Plats/Autres plats salés/épicés;146;12,7;1,3;10
Oeufs brouillés, préparés;Plats/Autres plats salés/épicés;149;10,8;1,3;11,2
Gateau au beurre;Sucreries/Gâteaux, tourtes et cakes;431;6,7;44,8;24,8
Salade russe, préparée;Plats/Salades;198;2,5;9,9;15,9
Sablés au beurre;Sucreries/Biscuits;475;5,9;53,1;26,2
Salametto;Produits carnés et charcuterie/Produits de charcuterie crus;342;14,8;0,3;31,3
Salami (ligne budget);Produits carnés et charcuterie/Produits de charcuterie crus;422;22;0;37,1
Salami type Nostrano;Produits carnés et charcuterie/Produits de charcuterie crus;367;24,1;0;30,1
Sauce de salade française (avec huile de colza);Graisses et huiles/Sauces à salade;446;0,7;3;46,9
Sauce de salade italienne (avec huile d'olive);Graisses et huiles/Sauces à salade;472;0,3;1,4;50,6
Sauge, crue;Légumes/Herbes aromatiques;58;1,7;6,9;2
Salsiz;Produits carnés et charcuterie/Produits de charcuterie crus;415;25,2;0;34,9
Saltimbocca, grillé au colza HOLL;Viande et abats/Veau;230;30,2;0,1;12,1
Graines oléagineuses (moyenne), non salés;Noix, graines et produits oléagineux;600;20,3;11,2;50,6
Samosa frite;Plats/Plats asiatiques;342;6,3;31,6;20,4
Samosa cuite au four;Plats/Plats asiatiques;310;6,7;33,5;15,8
Sandwich (baguette) à la charcuterie;Plats/Sandwich;152;5;17,3;6,6
Sandwich (baguette) au fromage d'Italie;Plats/Sandwich;220;7,9;25,1;9,4
Sandwich (baguette) au fromage à pâte mi-dure;Plats/Sandwich;179;6,8;20;7,6
Sandwich (baguette) à la mozzarella;Plats/Sandwich;163;5,8;20,1;6,2
Sandwich (baguette) au jambon cru;Plats/Sandwich;164;8,8;18,7;5,7
Sandwich (baguette) au salami;Plats/Sandwich;157;5,8;18,3;6,4
Sandwich (baguette) au jambon;Plats/Sandwich;131;6,3;17,3;3,7
Sandwich (baguette) avec viande séchée;Plats/Sandwich;141;7,2;18,4;3,9
Sandwich (baguette) au fromage à pâte molle;Plats/Sandwich;182;6,3;21,3;7,6
Sandwich (pain bis) à la charcuterie;Plats/Sandwich;143;5,3;15,2;6,4
Sandwich (pain bis) au fromage d'Italie;Plats/Sandwich;210;8,1;21,9;9,5
Sandwich (pain bis) au fromage à pâte mi-dure;Plats/Sandwich;172;7;17,5;7,7
Sandwich (pain bis) à la mozzarella;Plats/Sandwich;155;6;17,6;6,3
Sandwich (pain bis) au jambon cru;Plats/Sandwich;157;9;16,3;5,8
Sandwich (pain bis) au salami;Plats/Sandwich;151;5,9;16,2;6,5
Sandwich (pain bis) au jambon;Plats/Sandwich;125;6,4;15,3;3,8
Sandwich (pain bis) avec viande séchée;Plats/Sandwich;135;7,4;16,2;4
Sandwich (pain bis) au fromage à pâte molle;Plats/Sandwich;174;6,5;18,6;7,7
Anchois à l'huile, égouttée;Poisson/Poissons de mer;182;26,4;0,2;8,4
Crème d'anchois;Divers/Pâtes à tartiner;272;19,8;0,2;21,3
Sardine à l'huile, égouttée;Poisson/Poissons de mer;215;23;0;13,7
Sardine, crue;Poisson/Poissons de mer;163;20,4;0;9
Saucisse aux choux;Produits carnés et charcuterie/Produits de charcuterie crus;362;15,9;1,5;32,3
Saucisson;Produits carnés et charcuterie/Produits de charcuterie crus;467;16,7;0,5;44,2
Saucisson vaudois;Produits carnés et charcuterie/Produits de charcuterie crus;358;16,5;0,2;32,3
Saucisson vaudois, cuit (sans adjonction de graisse ni de sel);Produits carnés et charcuterie/Produits de charcuterie crus;550;20,9;0,6;51,5
Choucroute, mariné dans du vinaigre;Légumes/Légumes cuits (conserves comprises);19;1,3;1,7;0,3
Crème acidulée;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";335;2,3;2,8;35
Demie-crème acidulé;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";174;3;3,2;16,6
Sbrinz (fromage à pâte dure);Lait et produits laitiers/Fromage à pâte dure;417;28,6;0;33,2
Langoustine, crue;Poisson/Fruits de mer et crustacés;93;19,6;0,8;1,3
Lait de brebis, cru;Lait et produits laitiers/Lait;105;5,6;4,7;7,1
Vin blanc mousseux (p.ex. Champagne);Boissons alcoolisées/Vin;70;0,2;1,5;0
Fromage fondu en tranches, à la crème;Lait et produits laitiers/Produits à base de fromage;324;13,4;0;30
Fromage fondu en tranches, quart-gras;Lait et produits laitiers/Produits à base de fromage;158;20,1;0;8,6
Fromage fondu en tranches, gras;Lait et produits laitiers/Produits à base de fromage;305;20;0;25
Fromage fondu à tartiner, à la crème;Lait et produits laitiers/Produits à base de fromage;309;11,2;0;29,4
Fromage fondu à tartiner, quart-gras;Lait et produits laitiers/Produits à base de fromage;161;19,4;0;9,3
Fromage fondu à tartiner, au lait entier;Lait et produits laitiers/Produits à base de fromage;255;16;0;21,2
Ciboulette, crue;Légumes/Herbes aromatiques;30;3;1,9;0,6
Sandwich à l'escalope avec sauce cocktail;Plats/Sandwich;266;15,1;25,1;11,4
Sandwich à l'escalope avec sauce tartare;Plats/Sandwich;246;14,4;23,2;10,3
Chocolat noir;Sucreries/Chocolat et produits chocolatés;535;5,2;53,4;31,8
Chocolat blanc;Sucreries/Chocolat et produits chocolatés;568;6,8;55,8;35,2
Crème au chocolat;Sucreries/Crèmes et pouding;122;3,6;20;3
Kouglof au chocolat;Sucreries/Gâteaux, tourtes et cakes;379;6,2;46,3;18,4
Chocolat en poudre;"Sucreries/Chocolat et produits chocolatés;Boissons sans alcool/Boissons chocolatées";402;6,3;71,3;7,8
Carrelet, cru;Poisson/Poissons de mer;86;17,1;0;1,9
Boule de Bâle;Produits carnés et charcuterie/Produits de charcuterie bouillis;306;9,9;0,2;29,5
Tourte fôret noire;Sucreries/Gâteaux, tourtes et cakes;248;3,9;21,4;16,1
Salsifis noir, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);60;1,6;2,3;0,4
Salsifis noir, cru;Légumes/Légumes frais;54;1,4;2,1;0,4
Porc, fricassée, cru;Viande et abats/Porc;239;17,9;0;18,6
Porc, noix, tranche, grillée (sans adjonction de graisse ni de sel);Viande et abats/Porc;177;34,8;0;4,2
Porc, noix, tranche, crue;Viande et abats/Porc;115;22,6;0;2,7
Porc, filet mignon, rôti (sans adjonction de graisse ni de sel);Viande et abats/Porc;168;30,8;0;5
Porc, filet mignon, cru;Viande et abats/Porc;121;22,2;0;3,6
Porc, haché, cru;Viande et abats/Porc;158;20,5;0;8,5
Porc, émincé, grillé (sans adjonction de graisse ni de sel);Viande et abats/Porc;196;31,3;0;7,9
Porc, émincé, cru;Viande et abats/Porc;134;21,3;0;5,4
Porc, côtelette, grillée (sans adjonction de graisse ni de sel);Viande et abats/Porc;298;27,8;0;20,7
Porc, cou, steak, cru;Viande et abats/Porc;202;18,9;0;14,1
Porc, jarret, braisé (sans adjonction de graisse ni de sel);Viande et abats/Porc;267;39,4;1,1;11,7
Porc, jarret, cru;Viande et abats/Porc;174;25,6;0,7;7,6
Porc, côtelette, grillé (sans adjonction de graisse ni de sel);Viande et abats/Porc;276;32,9;0;16
Porc, côtelette, crue;Viande et abats/Porc;179;21,4;0;10,4
Porc, foie, cru;Viande et abats/Porc;130;20,7;0,9;4,9
Porc, filet, cru;Viande et abats/Porc;138;22,9;0;5,1
Porc, pièce ronde, tranche, cru;Viande et abats/Porc;126;20,6;0;4,9
"Porc, épaule, rôti au four à point"" (sans adjonction de graisse ni de sel)""";Viande et abats/Porc;229;31,1;0;11,6
"Porc,  épaule, rôti au four bien cuit""  (sans adjonction de graisse ni de sel)""";Viande et abats/Porc;292;39,7;0;14,8
Porc, épaule, rôti, cru;Viande et abats/Porc;181;24,6;0;9,2
Porc, ragoût, cru;Viande et abats/Porc;135;20,9;0;5,7
Viande de porc (moyenne sans abats ni côtelette ni pied), crue;Viande et abats/Porc;160;21,4;0;8,3
Saindoux;Graisses et huiles/Graisses;891;0;0;99
Saucisse à rôtir de porc;Produits carnés et charcuterie/Produits de charcuterie bouillis;236;16,2;0,5;18,8
Piccata de porc, préparée;Plats/Autres plats salés/épicés;233;23,7;5,5;12,8
Ragoût de porc avec sauce, préparé;Plats/Autres plats salés/épicés;113;12,4;3,1;5,5
Petite saucisse de porc, à pocher;Produits carnés et charcuterie/Produits de charcuterie bouillis;268;16,2;0,5;22,4
Salami suisse, porc et boeuf;Produits carnés et charcuterie/Produits de charcuterie crus;487;22;1,3;43,7
Merlu, cru;Poisson/Poissons de mer;71;17;0;0,3
Lieu noir, cru;Poisson/Poissons de mer;80;19,3;0;0,3
Sole, crue;Poisson/Poissons de mer;85;18,7;0;1,1
Piccata de céléris, préparée;Plats/Autres plats salés/épicés;162;5,3;6,8;11,6
Tranches de céléri, panées, préparées;Légumes/Légumes cuits (conserves comprises);138;5;13,9;5,7
"Petit pain Semmeli""""";Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;262;8,9;53,4;0,8
Graine de sésame;Noix, graines et produits oléagineux;589;17,7;11,7;49,8
Sherry, 18.5 vol%;Boissons alcoolisées/Vin;118;0,1;3,6;0
Salade de boeuf bouilli, préparée;Plats/Salades;227;16,5;1,5;17
Oignon au vinaigre;Légumes/Légumes cuits (conserves comprises);28;0,9;4,9;0,2
Sirop concentré;Boissons sans alcool/Sirop;371;0,1;91,8;0,2
Sirop preparé (dilué en proportion 1:5.5);"Boissons sans alcool/Sirop;Boissons sans alcool/Boissons sucrées";54;0;13,5;0
Boisson de soja, nature;Lait et produits laitiers/Substituts du lait;40;3,9;0,8;2,2
Fève de soja, cuite (sans adjonction de graisse ni de sel);Produits céréaliers, légumineuses et pommes de terre/Légumineuses;173;14;11,7;7
Fève de soja, sèche;Produits céréaliers, légumineuses et pommes de terre/Légumineuses;387;38,2;6,3;18,3
Farine de soja, dégraissée;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;249;45,2;0,6;1,2
Farine de soja, entière;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;398;40,8;3,1;20,6
Huile de soja;Graisses et huiles/Huiles;809;0;0;89,9
Pousses de soja, crues;Légumes/Pousses et germes;55;5,5;4,7;1
Graine de tournesol;Noix, graines et produits oléagineux;626;21,3;12;53
Huile de tournesol;Graisses et huiles/Huiles;809;0;0;89,9
Huile de tournesol HO, raffinée;Graisses et huiles/Huiles;810;0;0;90
Sorbet, aux fruits;Sucreries/Glaces à base d'eau;136;0,2;32,1;0
Asperge, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);27;2,2;3,3;0,2
Asperge, crue;Légumes/Légumes frais;27;2,2;3,3;0,2
Épinard, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);30;3,6;1;0,5
Épinard, cru;Légumes/Légumes frais;23;2,7;0,8;0,4
Gateau aux épinards, cuit au four (pâte feuilletée);Plats/Tartes sucrées et salées et gratins;178;5,8;10,2;12,2
Gateau aux épinards, cuit au four (pâte à gateau);Plats/Tartes sucrées et salées et gratins;169;6,1;12,3;10,1
Eaux-de-vie, 40 vol% (p.e. Abricotine, Brandy, Gin, Rhum, Williamine, Whisky);Boissons alcoolisées/Spiritueux;221;0;0;0
Coquin (Sablés à la confiture);Sucreries/Autres articles de pâtisserie;499;5,8;60,3;25,6
Bürli de St. Gall (farine mi-blanche);Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;231;9,1;44,6;1
Schüblig de Saint-Gall;Produits carnés et charcuterie/Produits de charcuterie bouillis;292;13,6;0,2;26,3
St. Paulin;Lait et produits laitiers/Fromage à pâte dure;279;18;0;23
Céleri branche, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);16;1;1,6;0,1
Céleri branche, cru;Légumes/Légumes frais;14;0,9;1,5;0,1
Bolet, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Champignons;39;4,4;0,6;0,5
Bolet, cru;Légumes/Champignons;32;3,6;0,5;0,4
Surimi;Poisson/Produits à base de poisson;81;12,6;6,1;0,7
Taboulé, préparé (avec Boulgour);Plats/Salades;114;2,4;12,1;5,5
Taboulé, préparé (avec Couscous);Plats/Salades;134;3;15,9;6,1
Sauce tartare, préparée à la maison avec la mayonnaise de colza;Divers/Sauces;383;3,6;1,9;40
Gratin de pâtes au jambon, préparé;Plats/Tartes sucrées et salées et gratins;167;10,4;15,1;7
Salade de pâte à la sauce française;Plats/Salades;131;5,5;13,3;5,8
Salade de pâte à la sauce italienne;Plats/Salades;133;5,4;13,3;6,1
Lait partiellement écrémé, pasteurisé;Lait et produits laitiers/Lait;57;3,2;4,7;2,8
Lait partiellement écrémé, UHT;Lait et produits laitiers/Lait;57;3,4;4,6;2,8
Pain tessinois;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;323;10,3;57,2;5,2
Tête de Moine;Lait et produits laitiers/Fromage à pâte dure;419;24,7;0;35,5
Thon à l'huile, égoutté;Poisson/Poissons de mer;186;27,6;0;8,4
Thon au naturel, égoutté;Poisson/Poissons de mer;117;25,6;0;1,6
Salade de thon au naturel, sauce au vinaigre et huile;Plats/Salades;110;9;6,8;4,8
Thon, cru;Poisson/Poissons de mer;149;23,4;0;6,2
Thym, cru;Légumes/Herbes aromatiques;52;1,5;7,4;1,2
Tilsit au lait pasteurisé, gras;Lait et produits laitiers/Fromage à pâte dure;353;24,6;0;28
Tilsit au lait cru, gras;Lait et produits laitiers/Fromage à pâte dure;378;26,1;0;30,2
Cake tyrolien;Sucreries/Gâteaux, tourtes et cakes;411;8,1;41,1;23,2
Pain de mie au beurre;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;316;8,9;45,7;10,4
Pain de mie à huile végétale;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;332;8,9;45,6;12,2
Tomate, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);28;1;4,2;0,4
Tomate, pelée, conserve;Légumes/Légumes cuits (conserves comprises);19;0,9;3;0,2
Tomate, crue;Légumes/Légumes frais;21;0,8;3,2;0,3
Gateau aux tomates, cuit au four (pâte feuilletée);Plats/Tartes sucrées et salées et gratins;156;3,5;10;11,1
Gateu aux tomates, cuit au four (pâte à gateau);Plats/Tartes sucrées et salées et gratins;146;3,9;12,3;8,8
Concentré de tomates;Légumes/Légumes cuits (conserves comprises);77;4,5;12,9;0,2
Jus de tomate;"Boissons sans alcool/Jus de fruits et de légumes;Légumes/Jus de légumes";15;0,8;3;0
Sauce tomate;Divers/Sauces;69;1,8;9,7;2,1
Soupe de tomate;Plats/Potages et soupes;42;1;6,6;1,1
Tomme;Lait et produits laitiers/Fromage à pâte molle;286;20,7;0;22,5
Huile de pépins de raisin;Graisses et huiles/Huiles;809;0;0;89,9
