Nom;Catégorie;Energie (kcal);Protéines;Glucides;Lipides
Babeurre;Lait et produits laitiers/Boissons lactées et yogourts à boire;33;3,2;4;0,5
Petit pain au lait;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;310;9,4;47,3;8,7
Tresse au beurre;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;326;9;45,7;11,4
Tresse au beurre, au blé entier;Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie;272;9,4;40,5;6,4
Café crème, non sucré;Boissons sans alcool/Café;14;0,3;0,6;1,1
Cake financier;Sucreries/Gâteaux, tourtes et cakes;426;9,8;37,4;25,5
Calimocho (Vin rouge avec cola);"Boissons sans alcool/Boissons sucrées;Boissons alcoolisées/Autres boissons alcoolisées";58;0;5,1;0
Camembert, mi-gras;Lait et produits laitiers/Fromage à pâte molle;178;22;0;10
Camembert, à la crème;Lait et produits laitiers/Fromage à pâte molle;352;16,4;0;31,7
Camembert, gras;Lait et produits laitiers/Fromage à pâte molle;299;21,2;0;23,7
Cannellonis à la viande, préparés;Plats/Plats italiens;193;10,4;14,6;9,9
Cannellonis aux épinards à la ricotta, préparés;Plats/Plats italiens;222;8,7;15,2;13,7
Cappuccino (sans poudre de chocolat), non sucré;"Lait et produits laitiers/Boissons lactées et yogourts à boire;Boissons sans alcool/Café";37;1,8;2,6;2,2
Capuns, préparés;Plats/Autres plats salés/épicés;168;8,1;10,1;10,4
Noix de cajou;Noix, graines et produits oléagineux;593;18,2;26,6;45,2
Cervelas;Produits carnés et charcuterie/Produits de charcuterie bouillis;249;13,4;0,5;21,5
Champignons de Paris, conserve;Légumes/Champignons;19;2,3;0,5;0,3
Champignon, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Champignons;27;3,5;1,3;0,4
Champignon, cru;Légumes/Champignons;22;2,9;1,1;0,3
Endive, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);14;1;0,7;0,2
Endive, crue;Légumes/Légumes frais;14;1;0,7;0,2
Chili con carne, préparé;Plats/Potages et soupes;125;10,8;9,2;4,4
Chou de Chine, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Légumes cuits (conserves comprises);16;1,2;1,2;0,3
Chou de Chine, cru;Légumes/Légumes frais;16;1,1;1,2;0,3
Petit gâteau à l'anice;Sucreries/Biscuits;366;8,5;75,3;3
Chicorée rouge, crue;Légumes/Légumes frais;19;1,4;1,6;0,1
Sauce cocktail, préparée à la maison avec la mayonnaise de colza;Divers/Sauces;695;2,4;3,9;74,4
Soda au cola, sucré;Boissons sans alcool/Boissons sucrées;40;0;10;0
Soda au cola, édulcoré;Boissons sans alcool/Boissons à teneur reduite en sucre;0;0;0;0
Salade Coleslaw, préparée;Plats/Salades;120;1,7;4,2;10,3
Coppa;Produits carnés et charcuterie/Produits de charcuterie crus;319;28,8;0,3;22,5
Cordon bleu de veau, sauté;Viande et abats/Veau;240;23,9;10,2;11,4
Cordon bleu de porc, sauté;Viande et abats/Porc;249;24,2;10,2;12,2
Cornflakes;Pains, flocons et céréales pour le petit-déjeuner/Mélanges de müesli et céréales pour petit-déjeuner;359;7,2;79,1;0,6
Cotechino;Produits carnés et charcuterie/Produits de charcuterie cuits;450;17,2;0;42,3
Cotto (produit à base de viande);Produits carnés et charcuterie/Produits de charcuterie cuits;93;15,7;0,6;3,1
Crackers, biscuits salés;Snacks salés/Sticks salés et bretzels;449;9,2;66,3;15,9
Feuilleté à la crème;Sucreries/Autres articles de pâtisserie;318;3,5;34,6;18,3
Crêpes au camembert, préparés;Plats/Autres plats salés/épicés;249;11,9;14,9;15,6
Crêpes aux champignons, préparés;Plats/Autres plats salés/épicés;137;5,3;7,9;9
Crêpes aux légumes, préparés;Plats/Autres plats salés/épicés;165;6;13,6;9,3
Crêpes au Nutella, préparés;Plats/Autres plats sucrés;376;7,7;35,7;22,1
Crêpes au jambon, préparés;Plats/Autres plats salés/épicés;193;12,8;13,2;9,8
Crêpes au lard, préparés;Plats/Autres plats salés/épicés;253;11,2;15;16,4
Crêpes au sucre et cannelle, préparés;Plats/Autres plats sucrés;256;8,2;29;11,7
Crêpes nature, préparés;Plats/Autres plats salés/épicés;234;9,3;19;13,3
Cocktail au crevette, préparé;Plats/Salades;174;5,5;4,6;13,2
Datte, sèche;Fruits/Fruits secs;305;2,5;69;0,5
Farine d'épeautre bise, type 1100;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;348;14,3;65;2,2
Farine d'épeautre, complète, type 1900;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;346;15,6;60;2,7
Farine d'épeautre blanche, type 550;Produits céréaliers, légumineuses et pommes de terre/Farines et amidon;348;13,3;69;1,5
Huile de chardon;Graisses et huiles/Huiles;806;0;0;89,6
Double crème, pasteurisée;"Graisses et huiles/Crème;Lait et produits laitiers/Crème et beurre";425;2,1;2,8;45
Cabillaud, filet, à la vapeur (sans adjonction de graisse ni de sel);Poisson/Poissons de mer;95;22,6;0;0,5
Morue, cru;Poisson/Poissons de mer;76;18,1;0;0,4
Dulce de Leche;Sucreries/Confitures et produits à tartiner sucrés;300;5,9;52,6;7,3
Châtaigne, crue;Noix, graines et produits oléagineux;198;2,9;42,4;1,5
Perche, crue;Poisson/Poissons d'eau douce;78;18;0;0,7
Omelette à la française au fromage, préparée;Plats/Autres plats salés/épicés;195;13,8;1,2;14,9
Omelette à la française au jambon, préparée;Plats/Autres plats salés/épicés;146;12,6;1,3;10
Omelette à la française au lard, préparée;Plats/Autres plats salés/épicés;182;12,3;1,3;14,2
Omelette à la française, préparée;Plats/Autres plats salés/épicés;154;11,1;1,4;11,5
Chanterelle, à l'étuvée (sans adjonction de graisse ni de sel);Légumes/Champignons;26;2;0,2;0,6
Chanterelle, crue;Légumes/Champignons;21;1,6;0,2;0,5
Salade Iceberg, crue;Légumes/Légumes frais;16;1;1,6;0,2
Thé froid, sucré;"Boissons sans alcool/Boissons sucrées;Boissons sans alcool/Thé";30;0;7,5;0
Emmentaler, gras;Lait et produits laitiers/Fromage à pâte dure;411;29;0;32,6
Chicorée scarole, crue;Légumes/Légumes frais;16;1,8;1,2;0,2
Gateau au noix d' Engadine;Sucreries/Gâteaux, tourtes et cakes;486;7;49,9;28,3
Petit-pois, conserve;Légumes/Légumes cuits (conserves comprises);88;4,8;12,8;0,8
Petit-pois (conserve), réchauffé (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);94;5,1;13,6;0,9
Petit-pois, à la vapeur (sans adjonction de sel);Légumes/Légumes cuits (conserves comprises);104;6,9;13,8;0,8
Petit-poid, cru;Légumes/Légumes frais;90;6;12;0,7
